Book_title,price,shipping_price,book_quantity,case_book_type,book_condition,Author,book_language,published_by,published_year,seller_name,seller_location,seller_rate
The Golden Goose (Young Puffin Story Books),US$ 1.18,US$ 5.48 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Near fine,Dick King-Smith,Language: English,"Puffin,",2003,Lewes Book Centre,"LEWES East Sussex, ES, United Kingdom",(4-star seller)
Children's Books Research: A Practical Guide to Techniques and Sources,US$ 1.31,US$ 5.48 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Near fine,"Chester, Tessa Rose",Language: English,"Thimble Press,",1989,Lewes Book Centre,"LEWES East Sussex, ES, United Kingdom",(4-star seller)
"I Heart You: 2 Fill-in Books (1 for You, 1 for Me)",US$ 2.07,US$ 5.48 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: As new,Abrams Noterie,Language: English,"U.S.A.: Harry N. Abrams, Inc.,",2015,Lewes Book Centre,"LEWES East Sussex, ES, United Kingdom",(4-star seller)
Kinsman (Orbit Books),US$ 2.07,US$ 5.48 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Bova, Ben",Language: English,"Futura Publications,",1979,Totalrewindltd,"Queensbury, United Kingdom",(5-star seller)
Putting Up Roots 1998 Tor Books Paperback,US$ 7.99,,Quantity: 1 available,Used - Softcover,Condition: Very good,Charles Sheffield,Language: English,"Tor Books,",1998,EMCBooks&Comics LLC,"Front Royal, VA, U.S.A.",(5-star seller)
More Truth: Searching for Certainty in an Uncertain World (more BOOKS).,US$ 1.38,US$ 6.69 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Very good,Kristi Mair.,Language: English,"Inter - Varsity Press., U.K.,",2019,"Bethel Books, Hanley","Stoke on Trent, United Kingdom",(4-star seller)
MORE REAL (more BOOKS).,US$ 1.38,US$ 6.69 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Very good,Jon Brown.,Language: English,"Inter - Varsity Press., U.K.,",2019,"Bethel Books, Hanley","Stoke on Trent, United Kingdom",(4-star seller)
Understanding the Death of Jesus (Key books).,US$ 1.38,US$ 6.69 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Near fine,John Eddison.,Language: English,"Scripture Union., U.K.,",1978,"Bethel Books, Hanley","Stoke on Trent, United Kingdom",(4-star seller)
Ding Dong School Books Lot of 5,US$ 9.00,,Quantity: 1 available,Used - Hardcover,Condition: Good,,"Published by
Rand McNally, Chicago, 
1954","Rand McNally, Chicago,",1954,Gary and Laura Maurer Collectibles,"Chicago, IL, U.S.A.",(2-star seller)
Acting Characters (Performance Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Elsam, Paul",Language: English,"Methuen Drama,",2011,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Off to the Park! (Tactile Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 2 available,Used - Hardcover,Condition: Good,Stephen Cheetham,Language: English,"Child's Play (International) Ltd,",2014,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
"First, Break All the Rules: What the World's Greatest Managers Do Differently (Simon & Schuster business books)",US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Marcus Buckingham,Language: English,"Simon and Schuster,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Golden Book of Fortune-Telling (Fortune-Telling Books),US$ 4.48,US$ 5.48 shipping Learn more about shipping rates,Quantity: 1 available,Used - Hardcover,Condition: As new,Carey Jones,Language: English,"Chronicle Books,",2017,Lewes Book Centre,"LEWES East Sussex, ES, United Kingdom",(4-star seller)
A Mouse in My Roof (Puffin Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Richard Edwards,Language: English,"Puffin Books,",1990,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Telling Tales About Dementia: Experiences of Caring A Books on Prescription Title,US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Whitman, Lucy, Ed.",Language: English,"Jessica Kingsley Pub,",2009,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Other Worlds (Abacus Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"DAVIES, P.C.W.",Language: English,"ABACUS,",1982,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Freshwater Animals (Clue Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,gwen-allen-joan-denslow,Language: English,"Oxford University Press,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Role Play (Resource Books for Teachers),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 3 available,Used - Softcover,Condition: Good,"Ladousse, Gillian Porter",Language: English,"Oxford University Press,",1987,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Guide To Creative Tutorin (Kogan Page Books for Teachers Series),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Adams, Stephen",Language: English,"Routledge,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Sea of Lost Books (Return to the Library of Doom),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Michael Dahl,Language: English,"Raintree,",2011,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
"A Dictionary of Biology, 6th Edition (Penguin Reference Books)",US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Abercrombie, Michael",Language: English,"Penguin Books,",1973,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Western Isles Guide Book (Charles Tait Guide Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 2 available,Used - Softcover,Condition: Good,Charles Tait,Language: English,"Charles Tait Photographic,",2002,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Who's Hat Is That? (First Puzzle Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Alison Boyle,Language: English,"Walker Books,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Hearing the Person With Dementia: Person-Centred Approaches to Communication for Families and Caregivers A Books on Prescription Title,US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"McCarthy, Bernie",Language: English,"Jessica Kingsley Pub,",2011,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Flower (Ecology Story Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Chris Baines,Language: English,"Frances Lincoln Ltd,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Foundations of Ajax (Books for Professionals by Professionals),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Schutta, Nathaniel",Language: English,"Apress,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Managing Projects Made Simple (Made Simple Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Nickson, David",Language: English,"Routledge,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
