Book_title,price,shipping_price,book_quantity,cover_type,book_condition,Author,published_by,published_year,seller_name,seller_location,seller_rate,seller_country
The Golden Goose (Young Puffin Story Books),1.18,5.48,1,Softcover,Near fine,Dick King-Smith,"Puffin,",2003,Lewes Book Centre,"LEWES East Sussex, ES, United Kingdom",4, United Kingdom
Children's Books Research: A Practical Guide to Techniques and Sources,1.31,5.48,1,Softcover,Near fine,"Chester, Tessa Rose","Thimble Press,",1989,Lewes Book Centre,"LEWES East Sussex, ES, United Kingdom",4, United Kingdom
"I Heart You: 2 Fill-in Books (1 for You, 1 for Me)",2.07,5.48,1,Softcover,As new,Abrams Noterie,"U.S.A.: Harry N. Abrams, Inc.,",2015,Lewes Book Centre,"LEWES East Sussex, ES, United Kingdom",4, United Kingdom
Kinsman (Orbit Books),2.07,5.48,1,Softcover,Good,"Bova, Ben","Futura Publications,",1979,Totalrewindltd,"Queensbury, United Kingdom",5, United Kingdom
Putting Up Roots 1998 Tor Books Paperback,7.99,8.002703003,1,Softcover,Very good,Charles Sheffield,"Tor Books,",1998,EMCBooks&Comics LLC,"Front Royal, VA, U.S.A.",5, U.S.A.
More Truth: Searching for Certainty in an Uncertain World (more BOOKS).,1.38,6.69,1,Softcover,Very good,Kristi Mair.,"Inter - Varsity Press., U.K.,",2019,"Bethel Books, Hanley","Stoke on Trent, United Kingdom",4, United Kingdom
MORE REAL (more BOOKS).,1.38,6.69,1,Softcover,Very good,Jon Brown.,"Inter - Varsity Press., U.K.,",2019,"Bethel Books, Hanley","Stoke on Trent, United Kingdom",4, United Kingdom
Understanding the Death of Jesus (Key books).,1.38,6.69,1,Softcover,Near fine,John Eddison.,"Scripture Union., U.K.,",1978,"Bethel Books, Hanley","Stoke on Trent, United Kingdom",4, United Kingdom
Ding Dong School Books Lot of 5,9,8.002703003,1,Hardcover,Good,Unknown,"Rand McNally, Chicago,",1954,Gary and Laura Maurer Collectibles,"Chicago, IL, U.S.A.",2, U.S.A.
Acting Characters (Performance Books),1.38,8.01,1,Softcover,Good,"Elsam, Paul","Methuen Drama,",2011,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Off to the Park! (Tactile Books),1.38,8.01,2,Hardcover,Good,Stephen Cheetham,"Child's Play (International) Ltd,",2014,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"First, Break All the Rules: What the World's Greatest Managers Do Differently (Simon & Schuster business books)",1.38,8.01,1,Softcover,Good,Marcus Buckingham,"Simon and Schuster,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Golden Book of Fortune-Telling (Fortune-Telling Books),4.48,5.48,1,Hardcover,As new,Carey Jones,"Chronicle Books,",2017,Lewes Book Centre,"LEWES East Sussex, ES, United Kingdom",4, United Kingdom
A Mouse in My Roof (Puffin Books),1.38,8.01,1,Softcover,Good,Richard Edwards,"Puffin Books,",1990,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Telling Tales About Dementia: Experiences of Caring A Books on Prescription Title,1.38,8.01,1,Softcover,Good,"Whitman, Lucy, Ed.","Jessica Kingsley Pub,",2009,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Other Worlds (Abacus Books),1.38,8.01,1,Softcover,Good,"DAVIES, P.C.W.","ABACUS,",1982,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Freshwater Animals (Clue Books),1.38,8.01,1,Softcover,Good,gwen-allen-joan-denslow,"Oxford University Press,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Role Play (Resource Books for Teachers),1.38,8.01,3,Softcover,Good,"Ladousse, Gillian Porter","Oxford University Press,",1987,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Guide To Creative Tutorin (Kogan Page Books for Teachers Series),1.38,8.01,1,Softcover,Good,"Adams, Stephen","Routledge,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Sea of Lost Books (Return to the Library of Doom),1.38,8.01,1,Softcover,Good,Michael Dahl,"Raintree,",2011,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"A Dictionary of Biology, 6th Edition (Penguin Reference Books)",1.38,8.01,1,Softcover,Good,"Abercrombie, Michael","Penguin Books,",1973,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Western Isles Guide Book (Charles Tait Guide Books),1.38,8.01,2,Softcover,Good,Charles Tait,"Charles Tait Photographic,",2002,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Who's Hat Is That? (First Puzzle Books),1.38,8.01,1,Softcover,Good,Alison Boyle,"Walker Books,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Hearing the Person With Dementia: Person-Centred Approaches to Communication for Families and Caregivers A Books on Prescription Title,1.38,8.01,1,Softcover,Good,"McCarthy, Bernie","Jessica Kingsley Pub,",2011,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Flower (Ecology Story Books),1.38,8.01,1,Softcover,Good,Chris Baines,"Frances Lincoln Ltd,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Foundations of Ajax (Books for Professionals by Professionals),1.38,8.01,1,Softcover,Good,"Schutta, Nathaniel","Apress,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Managing Projects Made Simple (Made Simple Books),1.38,8.01,1,Softcover,Good,"Nickson, David","Routledge,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
